# CZ1 2025/26 DATE+SCORE LATTICE (independent second index)
# Source: BBC Sport "Czech Liga" scores-fixtures month pages, fetched 2026-08-04
#   https://www.bbc.com/sport/football/czech-first-league/scores-fixtures/<YYYY-MM>
# Grammar: D|dateISO|home|hg|ag|away  (ASCII stock strings; BBC names mapped, accents stripped)
# BBC prints fixtures newest-first per month; rows here normalized ascending at assembly time.
D|2026-05-10|Jablonec|1|1|Hradec
D|2026-05-10|Pardubice|1|3|Karvina
D|2026-05-10|Olomouc|1|2|Bohemians
D|2026-05-12|Sparta|0|0|Plzen
D|2026-05-12|MlBoleslav|1|2|Dukla
D|2026-05-12|Slovacko|2|1|Ostrava
D|2026-05-12|Zlin|2|4|Teplice
D|2026-05-13|Hradec|1|0|Liberec
D|2026-05-13|Slavia|5|1|Jablonec
D|2026-05-16|Karvina|1|3|Olomouc
D|2026-05-16|Ostrava|2|0|Zlin
D|2026-05-16|Slovacko|0|3|MlBoleslav
D|2026-05-16|Teplice|2|0|Dukla
D|2026-05-17|Hradec|3|1|Slavia
D|2026-05-17|Liberec|0|2|Sparta
D|2026-05-17|Plzen|5|0|Jablonec
D|2026-05-23|Olomouc|4|0|Karvina
D|2026-05-23|Dukla|0|3|Ostrava
D|2026-05-23|MlBoleslav|0|2|Teplice
D|2026-05-23|Zlin|1|0|Slovacko
D|2026-05-24|Jablonec|2|1|Liberec
D|2026-05-24|Slavia|3|0|Plzen
D|2026-05-24|Sparta|2|1|Hradec
