normalised_key,canonical_name
guadalajara,Guadalajara
gubbio,Gubbio
gudjaunited,Gudja United
gueugnon,Gueugnon
guimaraes,Guimaraes
guingamp,Guingamp
gyorieto,Győri ETO FC
gziraunited,Gżira United
hacettepespor,Hacettepespor
hacken,Hacken
hajduksplit,Hajduk Split
haka,Haka
halmstad,Halmstad
hamburg,Hamburg
hamilton,Hamilton
hamkam,HamKam
hammarby,Hammarby
hamrunspartans,Hamrun Spartans
hannover,Hannover
hansarostock,Hansa Rostock
hapoelbeersheva,Hapoel Be'er Sheva
harjujk,Harju JK
harrogate,Harrogate
hartberg,Hartberg
hartlepool,Hartlepool
hatayspor,Hatayspor
haugesund,Haugesund
haverfordwestcounty,Haverfordwest County
hbtorshavn,HB Tórshavn
heartofmidlothian,Heart of Midlothian
hearts,Hearts
hebarpazardzhik,Hebar Pazardzhik
heerenveen,Heerenveen
hegelmann,FC Hegelmann
heidenheim,Heidenheim
helsingborg,Helsingborg
helsingor,Helsingor
heracles,Heracles
hercules,Hercules
hereford,Hereford
hermannstadt,FC Hermannstadt
hertha,Hertha
heusdenzolder,Heusden Zolder
hibernian,Hibernian
hibernians,Hibernians FC
hifk,HIFK
hjk,HJK
hjkhelsinki,HJK Helsinki
hkkopavogur,HK Kópavogur
hobro,Hobro
hoffenheim,Hoffenheim
holsteinkiel,Holstein Kiel
honefoss,Honefoss
honka,Honka
horsens,Horsens
hostert,US Hostert
hradeckralove,FC Hradec Králové
hskposusje,HŠK Posušje
huddersfield,Huddersfield
huesca,Huesca
hull,Hull
hvidovre,Hvidovre IF
iaakranes,ÍA Akranes
iberia1999,FC Iberia 1999
ibiza,Ibiza
ibvvestmannaeyjar,ÍBV Vestmannaeyjar
igmankonjic,Igman Konjic
ilves,Ilves
ilvestampere,Ilves Tampere
imtbeograd,IMT Beograd
ingolstadt,Ingolstadt
inhuletspetrove,Inhulets Petrove
inter,Inter
interdescaldes,Inter Club d'Escaldes
internazionalemilano,FC Internazionale Milano
interturku,Inter Turku
invernessc,Inverness C
ionikos,Ionikos
ipswich,Ipswich
iraklis,Iraklis
islochminsk,FK Isloch Minsk
istanbulbasaksehir,İstanbul Başakşehir
istanbulspor,Istanbulspor
istra1961,NK Istra 1961
istres,Istres
jablonec,FK Jablonec
jaen,Jaen
jagiellonia,Jagiellonia
jagielloniabiaystok,Jagiellonia Białystok
jaro,Jaro
javor,FK Javor
jedinstvobijelopolje,Jedinstvo Bijelo Polje
jedinstvoub,Jedinstvo Ub
jerv,Jerv
jeunesseesch,Jeunesse Esch
jezero,FK Jezero
jjkjyvaskyla,JJK Jyvaskyla
jknarvatrans,JK Narva Trans
jknommekalju,JK Nõmme Kalju
jktallinnakalev,JK Tallinna Kalev
jktammeka,JK Tammeka
jonkopings,Jonkopings
juventus,Juventus
juvestabia,Juve Stabia
kaagent,KAA Gent
kaakureyri,KA Akureyri
kairat,FK Kairat
kaiserslautern,Kaiserslautern
kalamaria,Kalamaria
kallithea,Kallithea
kallonis,Kallonis
kalmar,Kalmar
kapazpfk,Kapaz PFK
karabukspor,Karabukspor
karagumruk,Karagumruk
karlsruhe,Karlsruhe
karmiotissapolemidion,Karmiotissa Polemidion
karpatylviv,Karpaty Lviv
kasimpasa,Kasimpasa
kaunozalgiris,Kauno Žalgiris
kavala,Kavala
kayserispor,Kayserispor
kbenhavn,FC København
kecskemetite,Kecskeméti TE
keflavik,Keflavík ÍF
kerkyra,Kerkyra
kfballkani,KF Ballkani
kfbesadoberdoll,KF Besa Dobërdoll
kfbylisballsh,KF Bylis Ballsh
kfckomarno,KFC Komárno
kfdrita,KF Drita
kfdukagjini,KF Dukagjini
kfferizaj,KF Ferizaj
kfferonikeli,KF Feronikeli
kffushekosova,KF Fushë Kosova
kfgjilani,KF Gjilani
kfgostivari,KF Gostivari
kflaci,KF Laçi
kfliria,KF Liria
kfllapi,KF Llapi
kfmalisheva,KF Malisheva
kfshkendija79,KF Shkëndija 79
kfshkupi,KF Shkupi
kfskenderbeu,KF Skënderbeu
kfteutadurres,KF Teuta Durrës
kftirane,KF Tiranë
kfumoslo,KFUM Oslo
khimki,Khimki
kidderminster,Kidderminster
kifisia,Kifisia
kiklaksvik,KÍ Klaksvík
kilmarnock,Kilmarnock
kisvarda,Kisvárda FC
koblenz,Koblenz
kocaelispor,Kocaelispor
kolkhetipoti,Kolkheti Poti
koln,FC Koln
koloskovalivka,Kolos Kovalivka
kongsvinger,Kongsvinger
konyaspor,Konyaspor
koper,FC Koper
koronakielce,Korona Kielce
kortrijk,Kortrijk
kosice,FC Košice
kpvkokkola,KPV Kokkola
krasnodar,Krasnodar
krcgenk,KRC Genk
kristiansund,Kristiansund
krreykjavik,KR Reykjavík
krumovgrad,FK Krumovgrad
krylyasovetov,Krylya Sovetov
kryvbaskryvyirih,Kryvbas Kryvyi Rih
ktp,KTP
kuban,Kuban
kukesi,FK Kukësi
kuopionps,Kuopion PS
kups,KuPS
kuressaare,FC Kuressaare
lacoruna,La Coruna
lahti,Lahti
lamia,Lamia
landskrona,Landskrona
larisa,Larisa
larne,Larne FC
