seg,est,n,phase,res,gd,eur_frac
MIXED,-0.5580808080808081,9,p3,A,-1,0.9259259259259259
EUR-only,-1.5,3,p3,D,0,1.0
MIXED,-0.011111111111111096,9,p3,A,-2,0.8518518518518519
EUR-only,5.5,2,p3,H,3,1.0
MIXED,1.8429752066115703,11,p3,A,-1,0.8484848484848485
MIXED,-1.8429752066115703,11,p3,D,0,0.8484848484848485
EUR-only,-5.5,2,p3,A,-1,1.0
MIXED,-1.2575757575757576,3,p3,A,-2,0.6666666666666666
MIXED,1.2575757575757576,3,p3,H,1,0.6666666666666666
MIXED,-2.0625,2,p3,A,-3,0.8333333333333334
MIXED,-1.199705387205387,18,p3,A,-2,0.8333333333333334
MIXED,-0.4318181818181818,4,p3,A,-2,0.9166666666666666
EUR-only,-2.75,2,p2,A,-1,1.0
EUR-only,2.75,2,p2,H,1,1.0
MIXED,0.4318181818181818,4,p3,H,3,0.9166666666666666
MIXED,1.199705387205387,18,p3,H,3,0.8333333333333334
MIXED,2.0625,2,p3,H,1,0.8333333333333334
MIXED,-1.0858585858585859,4,p3,H,1,0.8333333333333334
EUR-only,0.27777777777777773,6,p3,H,4,1.0
MIXED,0.6136363636363635,2,p2,H,6,0.5
EUR-only,-3.1666666666666665,3,p3,D,0,1.0
EUR-only,3.1666666666666665,3,p3,D,0,1.0
EUR-only,-0.27777777777777773,6,p3,H,1,1.0
MIXED,-0.6136363636363635,2,p2,H,1,0.5
MIXED,1.0858585858585859,4,p3,H,2,0.8333333333333334
MIXED,-1.5,2,p3,H,1,0.6666666666666666
MIXED,-1.0749158249158248,6,p3,A,-3,0.6666666666666666
MIXED,1.0749158249158248,6,p3,D,0,0.6666666666666666
MIXED,1.5,2,p3,A,-2,0.6666666666666666
MIXED,0.045454545454545414,3,p3,H,1,0.6666666666666666
EUR-only,-0.5,6,p3,A,-1,1.0
MIXED,0.9215151515151515,15,p3,H,3,0.9333333333333333
MIXED,-0.9215151515151515,15,p3,H,1,0.9333333333333333
MIXED,-0.045454545454545414,3,p3,H,1,0.6666666666666666
EUR-only,0.5,6,p3,D,0,1.0
MIXED,-0.28287337662337664,8,p2,D,0,0.75
MIXED,-0.2571428571428571,14,p3,H,1,0.9523809523809523
MIXED,-0.39393939393939387,3,p2,H,1,0.8333333333333334
MIXED,3.5,2,p3,D,0,0.6666666666666666
MIXED,0.9967532467532467,2,p2,H,3,0.5
MIXED,-3.5,2,p3,A,-3,0.6666666666666666
MIXED,-0.9967532467532467,2,p2,H,2,0.5
MIXED,0.28287337662337664,8,p2,H,1,0.75
MIXED,0.2571428571428571,14,p3,A,-1,0.9523809523809523
MIXED,0.39393939393939387,3,p2,H,2,0.8333333333333334
EUR-only,2.5,3,p2,H,2,1.0
MIXED,0.09090909090909088,2,p2,H,2,0.75
MIXED,1.0845730027548208,11,p3,H,2,0.6666666666666666
MIXED,0.5763187429854097,9,p3,H,1,0.6296296296296297
EUR-only,2.0416666666666665,12,p3,H,3,1.0
EUR-only,0.20833333333333337,4,p2,D,0,1.0
MIXED,-1.0845730027548208,11,p3,H,1,0.6666666666666666
MIXED,-0.5763187429854097,9,p3,A,-2,0.6296296296296297
EUR-only,-2.0416666666666665,12,p3,A,-1,1.0
EUR-only,-0.20833333333333337,4,p2,H,6,1.0
EUR-only,-2.5,3,p2,A,-2,1.0
MIXED,-0.09090909090909088,2,p2,D,0,0.75
MIXED,-1.1763636363636363,5,p2,H,1,0.7
MIXED,0.3046536796536796,4,p2,D,0,0.5
EUR-only,1.3333333333333333,3,p2,H,1,1.0
MIXED,-0.3046536796536796,4,p2,H,3,0.5
EUR-only,-1.3333333333333333,3,p2,D,0,1.0
MIXED,1.1763636363636363,5,p2,H,3,0.7
MIXED,0.29040404040404044,6,p2,D,0,0.6666666666666666
MIXED,1.3068181818181819,4,p2,H,1,0.75
MIXED,-0.29040404040404044,6,p2,H,1,0.6666666666666666
MIXED,-1.3068181818181819,4,p2,D,0,0.75
MIXED,-0.1393939393939394,5,p2,H,3,0.8
EUR-only,-0.125,2,p2,A,-2,1.0
MIXED,-0.29545454545454547,2,p2,D,0,0.5
EUR-only,1.0833333333333333,3,p2,H,2,1.0
EUR-only,3.7,5,p2,H,2,1.0
EUR-only,0.75,2,p2,H,5,1.0
EUR-only,-1.0,4,p2,A,-2,1.0
MIXED,0.35274621212121215,16,p3,D,0,0.9166666666666666
EUR-only,1.6333333333333335,4,p2,H,1,1.0
MIXED,-0.4761363636363636,8,p2,A,-1,0.6875
EUR-only,1.25,2,p2,A,-1,1.0
MIXED,-0.75,13,p3,A,-1,0.9743589743589743
MIXED,0.19230769230769232,4,p2,D,0,0.875
MIXED,-0.14947552447552445,26,p3,D,0,0.9230769230769231
MIXED,-0.7679012345679013,9,p2,A,-2,0.9444444444444444
MIXED,-0.4659090909090909,6,p2,A,-1,0.9166666666666666
EUR-only,-2.55,4,p2,A,-2,1.0
MIXED,-0.4696969696969697,3,p2,A,-1,0.6666666666666666
MIXED,1.2828282828282829,3,p2,H,1,0.8333333333333334
EUR-only,-1.6666666666666667,3,p2,D,0,1.0
MIXED,1.2252331002331003,6,p2,H,3,0.75
EUR-only,2.3,4,p2,H,2,1.0
MIXED,-1.2828282828282829,3,p2,H,1,0.8333333333333334
EUR-only,1.6666666666666667,3,p2,H,6,1.0
MIXED,-1.2252331002331003,6,p2,H,1,0.75
EUR-only,-2.3,4,p2,A,-1,1.0
EUR-only,2.55,4,p2,H,1,1.0
MIXED,0.4696969696969697,3,p2,H,2,0.6666666666666666
MIXED,0.75,13,p3,H,1,0.9743589743589743
MIXED,-0.19230769230769232,4,p2,A,-2,0.875
MIXED,0.14947552447552445,26,p3,H,2,0.9230769230769231
MIXED,0.7679012345679013,9,p2,H,1,0.9444444444444444
MIXED,0.4659090909090909,6,p2,H,1,0.9166666666666666
EUR-only,-1.25,2,p2,D,0,1.0
MIXED,0.4761363636363636,8,p2,H,2,0.6875
EUR-only,-1.6333333333333335,4,p2,A,-1,1.0
MIXED,-0.3527462121212121,16,p3,H,1,0.9166666666666666
EUR-only,0.125,2,p2,H,1,1.0
EUR-only,-3.7,5,p2,A,-1,1.0
MIXED,0.29545454545454547,2,p2,H,2,0.5
EUR-only,-1.0833333333333333,3,p2,D,0,1.0
EUR-only,-0.75,2,p2,H,1,1.0
EUR-only,1.0,4,p2,H,2,1.0
EUR-only,-3.375,2,p2,A,-2,1.0
EUR-only,-0.8976190476190476,7,p2,A,-1,1.0
MIXED,-0.2102272727272727,4,p2,H,1,0.625
MIXED,0.7929292929292929,6,p2,D,0,0.75
EUR-only,3.375,2,p2,H,2,1.0
EUR-only,0.8976190476190476,7,p2,D,0,1.0
MIXED,0.2102272727272727,4,p2,H,2,0.625
MIXED,-0.7929292929292929,6,p2,H,2,0.75
MIXED,-1.340909090909091,5,p2,D,0,0.8
MIXED,-1.05976430976431,9,p2,D,0,0.9444444444444444
EUR-only,-0.875,4,p2,H,1,1.0
MIXED,0.7686868686868686,9,p2,A,-1,0.9444444444444444
EUR-only,0.875,4,p2,H,2,1.0
MIXED,-0.7686868686868686,9,p2,A,-3,0.9444444444444444
MIXED,1.340909090909091,5,p2,H,1,0.8
MIXED,1.05976430976431,9,p2,A,-1,0.9444444444444444
MIXED,0.6461279461279461,9,p2,D,0,0.8888888888888888
EUR-only,-1.0833333333333333,3,p2,H,1,1.0
EUR-only,1.0833333333333333,3,p2,A,-1,1.0
MIXED,-0.6461279461279461,9,p2,H,1,0.8888888888888888
MIXED,-0.5662878787878788,8,p2,A,-2,0.875
EUR-only,-1.625,4,p3,A,-2,1.0
EUR-only,1.625,4,p3,H,1,1.0
EUR-only,-1.625,2,p3,H,2,1.0
EUR-only,1.625,2,p3,H,3,1.0
MIXED,0.6704545454545454,2,p2,D,0,0.75
MIXED,-0.009090909090909089,11,p3,A,-1,0.9696969696969697
MIXED,1.3636363636363638,4,p3,H,2,0.8333333333333334
MIXED,-1.3636363636363638,4,p3,A,-1,0.8333333333333334
MIXED,-0.6704545454545454,2,p2,A,-5,0.75
MIXED,0.009090909090909089,11,p3,H,2,0.9696969696969697
DOM-heavy,-0.3745454545454545,5,p3,A,-3,0.4666666666666667
DOM-heavy,0.3745454545454545,5,p3,H,1,0.4666666666666667
MIXED,-0.9772727272727273,2,p2,D,0,0.75
MIXED,0.5727272727272728,5,p3,D,0,0.9333333333333333
MIXED,-0.5727272727272728,5,p3,D,0,0.9333333333333333
MIXED,0.9772727272727273,2,p2,H,1,0.75
