est,sd,n,n2,n3,contra,res,gd
-0.6,1.243985530462473,4,1,3,False,H,1
-1.6666666666666667,2.1081851067789197,2,1,1,True,D,0
-0.55,1.4866068747318506,5,0,5,False,H,3
-0.375,1.9512282456613492,6,2,4,False,A,-2
1.4555555555555555,2.2425734776076203,9,0,9,False,H,2
5.111111111111111,2.0374578689880276,7,2,5,False,H,2
1.75,,1,0,1,False,H,5
-0.611111111111111,1.7565573794102185,10,2,8,False,A,-2
1.361111111111111,1.296064794143134,6,0,6,False,H,1
1.138888888888889,1.788552418322264,10,2,8,False,H,1
2.0,,1,0,1,False,A,-1
-4.5,0.5,2,0,2,False,A,-1
2.642857142857143,1.4239210021655568,5,2,3,False,A,-1
-0.9444444444444444,1.6235154662447175,9,0,9,False,A,-1
1.375,1.940521837032503,3,1,2,True,D,0
-0.8571428571428571,1.4568627181693672,7,0,7,False,D,0
-1.1,2.339337513057917,12,3,9,False,A,-2
0.08333333333333333,0.6548430685625712,4,2,2,False,A,-1
-1.1,0.42031734043061636,3,2,1,False,A,-2
-2.4166666666666665,1.0199400853862828,5,1,4,False,A,-1
1.125,1.818596070232933,3,1,2,True,H,1
0.16666666666666666,1.0785149254620654,8,1,7,True,A,-1
1.375,1.456972153866661,7,1,6,True,H,1
-1.6428571428571428,0.9057638562369918,5,2,3,False,D,0
1.0,,1,1,0,False,H,3
-2.5,2.8136571693556887,6,1,5,False,A,-2
2.2777777777777777,2.4073667070226605,7,2,5,True,H,2
-2.0,0.6123724356957945,4,0,4,False,A,-3
-1.375,1.456972153866661,7,1,6,False,H,1
1.6428571428571428,0.9057638562369918,5,2,3,True,H,6
-1.0,,1,1,0,False,H,1
2.5,2.8136571693556887,6,1,5,True,H,3
-2.2777777777777777,2.4073667070226605,7,2,5,False,A,-1
2.0,0.6123724356957945,4,0,4,False,H,2
2.4166666666666665,1.0199400853862828,5,1,4,False,D,0
1.1,0.42031734043061636,3,2,1,False,H,1
-1.125,1.818596070232933,3,1,2,False,H,1
-0.16666666666666666,1.0785149254620654,8,1,7,False,H,2
0.9444444444444444,1.6235154662447175,9,0,9,False,H,1
-1.375,1.940521837032503,3,1,2,False,A,-2
0.8571428571428571,1.4568627181693672,7,0,7,False,H,2
1.1,2.339337513057917,12,3,9,False,H,1
-0.08333333333333333,0.6548430685625712,4,2,2,False,H,1
-2.642857142857143,1.4239210021655568,5,2,3,False,D,0
-2.0,,1,0,1,False,H,2
4.5,0.5,2,0,2,False,D,0
-1.361111111111111,1.2960647941431338,6,0,6,False,A,-1
-1.138888888888889,1.788552418322264,10,2,8,False,A,-1
0.375,1.9512282456613492,6,2,4,False,H,1
-5.111111111111111,2.0374578689880276,7,2,5,False,A,-1
-1.4555555555555555,2.2425734776076203,9,0,9,False,D,0
-1.75,,1,0,1,False,H,1
0.611111111111111,1.7565573794102185,10,2,8,False,H,2
-4.375,0.23935677693908453,3,1,2,False,A,-2
0.04722222222222222,1.2290874111297092,8,4,4,False,A,-1
3.3333333333333335,1.9293061504650377,3,0,3,False,H,1
3.875,0.625,2,0,2,False,D,0
4.375,0.23935677693908453,3,1,2,False,H,2
-0.04722222222222222,1.2290874111297092,8,4,4,False,D,0
-3.3333333333333335,1.9293061504650377,3,0,3,False,H,2
-3.875,0.625,2,0,2,False,H,2
-1.6875,1.2981356824307697,5,3,2,False,D,0
-0.06666666666666668,0.940449065311059,5,5,0,False,D,0
-0.2222222222222222,0.996908802495909,8,1,7,False,H,1
1.625,0.5448623679425842,4,4,0,False,A,-1
0.2222222222222222,0.996908802495909,8,1,7,True,H,2
-1.625,0.5448623679425842,4,4,0,False,A,-3
1.6875,1.2981356824307697,5,3,2,True,H,1
0.06666666666666668,0.940449065311059,5,5,0,False,A,-1
-0.3333333333333333,1.3176156917368247,2,1,1,True,D,0
-1.4555555555555555,2.2425734776076203,9,0,9,False,H,1
1.4555555555555555,2.2425734776076203,9,0,9,False,A,-1
0.3333333333333333,1.3176156917368247,2,1,1,True,H,1
-2.6666666666666665,1.8782379449307742,4,2,2,False,A,-2
4.0,,1,0,1,False,H,1
-4.0,,1,0,1,False,D,0
-0.5,,1,0,1,False,D,0
0.16666666666666666,0.26352313834736496,2,1,1,True,H,2
-2.75,2.75,2,0,2,False,A,-2
2.75,2.75,2,0,2,False,H,1
0.5,,1,0,1,False,H,3
-0.16666666666666666,0.26352313834736496,2,1,1,False,H,2
-1.625,1.125,2,0,2,False,H,2
2.0,0.5,2,0,2,False,A,-1
-2.0,0.5,2,0,2,False,H,1
1.625,1.125,2,0,2,False,H,3
-0.5,,1,0,1,False,A,-1
0.5,,1,0,1,False,H,2
-0.5,,1,0,1,False,A,-1
0.5,,1,0,1,False,H,2
1.8333333333333333,2.6352313834736494,2,1,1,True,H,1
-1.8333333333333333,2.6352313834736494,2,1,1,True,H,2
-0.5,,1,1,0,False,D,0
2.3333333333333335,0.9428090415820634,3,0,3,False,D,0
0.5,,1,1,0,False,H,1
-2.3333333333333335,0.9428090415820634,3,0,3,False,D,0
-5.5,,1,0,1,False,A,-1
-1.625,0.42695628191498325,3,1,2,False,H,1
3.25,0.25,2,0,2,False,H,6
-3.25,0.25,2,0,2,False,A,-1
1.625,0.42695628191498325,3,1,2,False,A,-1
5.5,,1,0,1,False,H,2
3.0,1.0606601717798212,4,1,3,False,H,2
-3.0,1.0606601717798212,4,1,3,False,H,2
-1.0,2.5,2,0,2,False,H,3
0.0,,1,0,1,False,D,0
-0.125,0.6574889099191459,3,1,2,True,H,1
3.0,,1,0,1,False,H,1
-0.6666666666666667,1.986062547968831,8,0,8,False,A,-1
1.96875,2.563234868495556,7,1,6,False,D,0
-2.0,,1,0,1,False,H,1
2.0,,1,0,1,False,D,0
0.6666666666666667,1.986062547968831,8,0,8,False,D,0
-1.96875,2.563234868495556,7,1,6,True,A,-1
1.0,2.5,2,0,2,False,A,-1
0.0,,1,0,1,False,A,-1
0.125,0.6574889099191459,3,1,2,True,A,-1
-3.0,,1,0,1,False,A,-3
-1.875,1.625,2,0,2,False,A,-3
0.6666666666666666,0.5464532103585,8,1,7,True,A,-3
1.25,1.299038105676658,8,0,8,False,H,2
-1.875,1.7809758560968758,4,0,4,False,A,-1
-1.25,1.299038105676658,8,0,8,False,H,4
1.875,1.7809758560968758,4,0,4,False,D,0
1.875,1.625,2,0,2,False,D,0
-0.6666666666666666,0.5464532103585,8,1,7,False,A,-5
-0.8125,1.3858473641302158,6,2,4,False,H,1
-2.0,,1,0,1,False,H,1
2.0,,1,0,1,False,A,-2
0.8125,1.3858473641302158,6,2,4,True,A,-1
-0.4166666666666667,1.1242281302693369,3,0,3,False,H,1
0.4166666666666667,1.1242281302693369,3,0,3,False,D,0
0.5,,1,0,1,False,H,1
-4.5,,1,1,0,False,A,-1
-2.3333333333333335,0.6236095644623235,3,0,3,False,A,-1
-0.8333333333333334,1.1931517552730295,8,1,7,False,H,1
0.8333333333333334,1.1931517552730295,8,1,7,True,H,1
4.5,,1,1,0,False,H,5
2.3333333333333335,0.6236095644623235,3,0,3,False,H,2
0.3333333333333333,0.26352313834736496,2,1,1,True,D,0
-2.3333333333333335,2.2852182001336816,6,0,6,False,D,0
-0.3333333333333333,0.26352313834736496,2,1,1,False,H,1
2.3333333333333335,2.2852182001336816,6,0,6,False,H,2
0.25,1.8276426832884425,9,1,8,False,H,1
-0.5,2.7838821814150108,3,1,2,True,H,1
-0.25,0.39528470752104744,2,1,1,False,D,0
0.25,0.39528470752104744,2,1,1,True,H,1
0.5,2.7838821814150108,3,1,2,True,H,1
-0.25,1.8276426832884425,9,1,8,True,A,-1
-1.0,2.277608394786075,4,1,3,False,A,-1
-0.4583333333333333,1.3648616128466,9,3,6,False,A,-1
-2.6,1.5960889699512368,4,1,3,False,D,0
2.6,1.5960889699512368,4,1,3,False,H,1
0.4583333333333333,1.3648616128466,9,3,6,False,D,0
1.0,2.277608394786075,4,1,3,True,H,3
-4.0,1.541103500742244,4,0,4,False,A,-2
7.0,,1,0,1,False,H,2
4.0,1.541103500742244,4,0,4,False,H,4
-7.0,,1,0,1,False,H,1
-0.75,2.116404183200049,6,0,6,False,H,3
2.0625,0.7161248644116271,7,1,6,False,H,1
-2.833333333333333,2.2060522810365732,10,0,10,False,A,-1
0.75,2.116404183200049,6,0,6,False,A,-3
2.833333333333333,2.2060522810365732,10,0,10,False,D,0
-2.0625,0.7161248644116271,7,1,6,False,A,-1
-1.8333333333333333,1.1785113019775793,3,3,0,False,A,-1
1.6111111111111112,0.8418873145741758,7,2,5,False,H,6
0.8333333333333334,2.9872413881558204,4,2,2,False,H,2
-0.8333333333333334,2.9872413881558204,4,2,2,True,H,2
-1.6111111111111112,0.8418873145741758,7,2,5,False,A,-1
1.8333333333333333,1.1785113019775793,3,3,0,False,H,3
0.75,0.25,2,0,2,False,H,1
1.5,2.3048861143232218,8,0,8,False,H,4
-1.5,2.3048861143232218,8,0,8,False,A,-1
-0.75,0.25,2,0,2,False,D,0
-0.16666666666666666,1.9986106285228358,5,1,4,True,D,0
-0.625,1.5189771777965153,3,1,2,True,A,-2
-3.0,,1,0,1,False,H,1
0.8125,2.218236442912853,6,2,4,False,D,0
0.5,1.9472202409246537,6,2,4,False,H,3
-0.5,1.9472202409246537,6,2,4,True,H,1
0.16666666666666666,1.9986106285228358,5,1,4,False,H,2
0.625,1.5189771777965153,3,1,2,True,D,0
3.0,,1,0,1,False,H,3
-0.8125,2.218236442912853,6,2,4,False,H,2
-0.4583333333333333,1.3648616128466,9,3,6,False,D,0
-3.5,1.0,2,0,2,False,A,-4
-1.5,2.3048861143232218,8,0,8,False,D,0
-0.9444444444444444,1.7259145008364496,8,1,7,False,H,4
1.0666666666666667,2.101851036057926,10,5,5,False,D,0
-2.3333333333333335,0.6236095644623235,3,0,3,False,H,1
1.8333333333333333,1.1785113019775793,3,0,3,False,H,2
0.9444444444444444,1.7259145008364496,8,1,7,False,H,2
-1.0666666666666667,2.101851036057926,10,5,5,False,A,-1
2.3333333333333335,0.6236095644623235,3,0,3,False,H,5
-1.8333333333333333,1.1785113019775793,3,0,3,False,A,-2
3.5,1.0,2,0,2,False,H,5
0.4583333333333333,1.3648616128466,9,3,6,False,H,1
1.5,2.3048861143232218,8,0,8,False,H,1
