date,comp,home,away,hg,ag,note
2025-07-26,CZE1,Olomouc,Dukla,0,0,
2025-07-26,CZE1,Plzen,Jablonec,1,1,
2025-07-26,CZE1,Zlin,Slovacko,1,1,
2025-07-26,CZE1,Bohemians,Slavia,0,2,
2025-07-27,CZE1,Liberec,Pardubice,2,1,
2025-07-27,CZE1,Sparta,Ml.Boleslav,3,2,
2025-07-20,CZE1,Slovacko,Olomouc,0,1,
2025-07-20,CZE1,Ml.Boleslav,Liberec,3,3,
2025-07-20,CZE1,Slavia,Hradec,2,2,
2025-07-19,CZE1,Bohemians,Ostrava,1,0,
2025-07-19,CZE1,Karvina,Dukla,2,0,
2025-07-19,CZE1,Teplice,Zlin,1,3,
2025-07-19,CZE1,Jablonec,Sparta,1,1,
2025-07-18,CZE1,Pardubice,Plzen,1,5,
2025-08-23,CZE1,Teplice,Jablonec,0,1,
2025-08-23,CZE1,Plzen,Karvina,2,1,
2025-08-23,CZE1,Zlin,Liberec,1,0,
2025-08-23,CZE1,Slavia,Pardubice,3,1,
2025-08-24,CZE1,Hradec,Olomouc,1,0,
2025-08-24,CZE1,Ostrava,Slovacko,2,0,
2025-08-24,CZE1,Sparta,Dukla,3,2,
2025-08-19,CZE1,Ml.Boleslav,Plzen,0,5,catchup
2025-08-17,CZE1,Karvina,Bohemians,1,2,
2025-08-17,CZE1,Liberec,Sparta,0,2,
2025-08-16,CZE1,Dukla,Plzen,2,0,
2025-08-16,CZE1,Ml.Boleslav,Hradec,3,2,
2025-08-16,CZE1,Olomouc,Zlin,1,0,
2025-08-16,CZE1,Slovacko,Teplice,2,1,
2025-08-16,CZE1,Jablonec,Slavia,1,1,
2025-08-10,CZE1,Bohemians,Jablonec,0,1,
2025-08-10,CZE1,Hradec,Pardubice,1,1,
2025-08-10,CZE1,Ostrava,Karvina,1,2,
2025-08-10,CZE1,Sparta,Olomouc,1,0,
2025-08-09,CZE1,Liberec,Dukla,2,0,
2025-08-09,CZE1,Plzen,Slovacko,1,1,
2025-08-30,CZE1,Dukla,Hradec,1,1,
2025-08-30,CZE1,Karvina,Teplice,4,1,
2025-08-30,CZE1,Pardubice,Bohemians,1,1,
2025-08-30,CZE1,Slovacko,Jablonec,0,2,
2025-08-30,CZE1,Ml.Boleslav,Slavia,1,3,
2025-08-31,CZE1,Liberec,Plzen,1,1,
2025-08-31,CZE1,Olomouc,Ostrava,1,0,
2025-08-31,CZE1,Sparta,Zlin,3,1,
2025-08-09,CZE1,Zlin,Ml.Boleslav,3,2,
2025-08-09,CZE1,Slavia,Teplice,3,0,
2025-08-03,CZE1,Slovacko,Slavia,0,1,
2025-08-03,CZE1,Dukla,Ostrava,1,1,
2025-08-03,CZE1,Pardubice,Sparta,1,3,
2025-08-02,CZE1,Jablonec,Hradec,2,0,
2025-08-02,CZE1,Karvina,Zlin,0,1,
2025-08-02,CZE1,Teplice,Bohemians,3,0,
2025-08-02,CZE1,Olomouc,Liberec,2,1,
2025-09-26,CZE1,Slavia,Dukla,2,0,
2025-09-27,CZE1,Ostrava,Sparta,0,3,
2025-09-27,CZE1,Bohemians,Olomouc,2,2,
2025-09-27,CZE1,Slovacko,Karvina,1,2,
2025-09-27,CZE1,Hradec,Liberec,2,3,
2025-09-28,CZE1,Teplice,Pardubice,0,0,
2025-09-28,CZE1,Jablonec,Ml.Boleslav,2,0,
2025-09-28,CZE1,Plzen,Zlin,0,1,
2025-09-21,CZE1,Dukla,Bohemians,0,2,
2025-09-21,CZE1,Liberec,Slavia,1,1,
2025-09-21,CZE1,Ml.Boleslav,Ostrava,1,1,
2025-09-20,CZE1,Karvina,Jablonec,1,2,
2025-09-20,CZE1,Pardubice,Slovacko,1,1,
2025-09-20,CZE1,Olomouc,Teplice,0,0,
2025-09-20,CZE1,Zlin,Hradec,1,2,
2025-09-20,CZE1,Sparta,Plzen,2,1,catchup
2025-09-17,CZE1,Ostrava,Teplice,1,1,catchup
2025-09-14,CZE1,Jablonec,Pardubice,3,2,
2025-09-14,CZE1,Bohemians,Slovacko,1,0,
2025-09-14,CZE1,Hradec,Sparta,2,1,
2025-09-13,CZE1,Ostrava,Liberec,0,2,
2025-09-13,CZE1,Teplice,Ml.Boleslav,2,3,
2025-09-13,CZE1,Plzen,Olomouc,1,0,
2025-09-13,CZE1,Zlin,Dukla,1,1,
2025-09-13,CZE1,Slavia,Karvina,3,1,
2025-10-22,CZE1,Bohemians,Ml.Boleslav,1,1,catchup
2025-10-25,CZE1,Dukla,Slovacko,1,0,
2025-10-25,CZE1,Hradec,Teplice,0,0,
2025-10-25,CZE1,Ml.Boleslav,Karvina,2,4,
2025-10-25,CZE1,Zlin,Pardubice,2,2,
2025-10-25,CZE1,Liberec,Jablonec,0,2,
2025-10-26,CZE1,Olomouc,Slavia,0,0,
2025-10-26,CZE1,Plzen,Ostrava,2,0,
2025-10-28,CZE1,Sparta,Bohemians,2,1,catchup
2025-10-19,CZE1,Ostrava,Hradec,0,1,
2025-10-19,CZE1,Slovacko,Sparta,0,0,
2025-10-19,CZE1,Jablonec,Dukla,0,0,
2025-10-18,CZE1,Bohemians,Plzen,0,1,
2025-10-18,CZE1,Karvina,Olomouc,1,1,
2025-10-18,CZE1,Pardubice,Ml.Boleslav,2,1,
2025-10-18,CZE1,Teplice,Liberec,1,1,h2h
2025-10-18,CZE1,Slavia,Zlin,0,0,
2025-10-05,CZE1,Zlin,Ostrava,1,1,
2025-10-05,CZE1,Olomouc,Jablonec,2,0,
2025-10-05,CZE1,Plzen,Hradec,3,3,
2025-10-05,CZE1,Sparta,Slavia,1,1,
2025-10-04,CZE1,Dukla,Teplice,1,3,
2025-10-04,CZE1,Ml.Boleslav,Slovacko,0,0,
2025-10-04,CZE1,Pardubice,Karvina,2,1,
2025-10-04,CZE1,Liberec,Bohemians,0,0,
2025-10-01,CZE1,Pardubice,Ostrava,0,1,catchup
2025-11-22,CZE1,Dukla,Olomouc,2,2,
2025-11-22,CZE1,Ml.Boleslav,Sparta,1,2,
2025-11-22,CZE1,Pardubice,Liberec,0,4,
2025-11-22,CZE1,Teplice,Ostrava,1,0,catchup
2025-11-22,CZE1,Slavia,Bohemians,3,1,
2025-11-23,CZE1,Karvina,Hradec,4,3,
2025-11-23,CZE1,Jablonec,Plzen,3,3,
2025-11-23,CZE1,Slovacko,Zlin,2,0,
2025-11-29,CZE1,Ostrava,Dukla,3,1,
2025-11-29,CZE1,Hradec,Jablonec,2,0,
2025-11-29,CZE1,Zlin,Karvina,1,3,
2025-11-29,CZE1,Slavia,Slovacko,3,0,
2025-11-30,CZE1,Bohemians,Teplice,0,1,
2025-11-30,CZE1,Liberec,Olomouc,1,0,
2025-11-30,CZE1,Plzen,Ml.Boleslav,2,1,
2025-11-30,CZE1,Sparta,Pardubice,2,4,
2025-11-09,CZE1,Liberec,Karvina,6,0,
2025-11-09,CZE1,Olomouc,Pardubice,2,0,
2025-11-09,CZE1,Sparta,Teplice,2,2,
2025-11-09,CZE1,Plzen,Slavia,3,5,
2025-11-08,CZE1,Dukla,Ml.Boleslav,0,1,
2025-11-08,CZE1,Hradec,Slovacko,4,0,
2025-11-08,CZE1,Zlin,Bohemians,0,1,
2025-11-08,CZE1,Ostrava,Jablonec,0,1,
2025-11-02,CZE1,Ml.Boleslav,Olomouc,1,4,
2025-11-02,CZE1,Bohemians,Hradec,1,2,
2025-11-02,CZE1,Karvina,Sparta,2,1,
2025-11-02,CZE1,Teplice,Plzen,1,2,
2025-11-01,CZE1,Jablonec,Zlin,1,3,
2025-11-01,CZE1,Pardubice,Dukla,1,1,
2025-11-01,CZE1,Slovacko,Liberec,0,3,
2025-11-01,CZE1,Slavia,Ostrava,2,0,
2025-12-05,CZE1,Teplice,Slavia,1,2,
2025-12-06,CZE1,Dukla,Liberec,1,1,
2025-12-06,CZE1,Ml.Boleslav,Zlin,3,1,
2025-12-06,CZE1,Slovacko,Plzen,3,0,
2025-12-06,CZE1,Olomouc,Sparta,0,1,
2025-12-07,CZE1,Jablonec,Bohemians,1,0,
2025-12-07,CZE1,Karvina,Ostrava,0,0,
2025-12-07,CZE1,Pardubice,Hradec,1,0,
2025-12-13,CZE1,Ostrava,Pardubice,1,4,
2025-12-13,CZE1,Hradec,Ml.Boleslav,1,1,
2025-12-13,CZE1,Teplice,Slovacko,1,0,
2025-12-13,CZE1,Slavia,Jablonec,4,3,
2025-12-14,CZE1,Bohemians,Karvina,0,3,
2025-12-14,CZE1,Plzen,Dukla,2,0,
2025-12-14,CZE1,Zlin,Olomouc,5,0,
2025-12-14,CZE1,Sparta,Liberec,2,2,
2026-01-31,CZE1,Jablonec,Teplice,1,0,
2026-01-31,CZE1,Ml.Boleslav,Bohemians,2,2,
2026-01-31,CZE1,Olomouc,Hradec,1,0,
2026-01-31,CZE1,Dukla,Sparta,0,3,
2026-02-27,CZE1,Dukla,Slavia,0,2,
2026-02-28,CZE1,Ml.Boleslav,Jablonec,3,0,
2026-02-28,CZE1,Pardubice,Teplice,1,1,
2026-02-28,CZE1,Liberec,Hradec,0,1,
2026-02-28,CZE1,Sparta,Ostrava,5,2,
2026-02-21,CZE1,Hradec,Zlin,0,0,
2026-02-21,CZE1,Jablonec,Karvina,1,0,
2026-02-21,CZE1,Slovacko,Pardubice,2,0,
2026-02-21,CZE1,Slavia,Liberec,1,0,
2026-02-22,CZE1,Bohemians,Dukla,1,0,
2026-02-22,CZE1,Ostrava,Ml.Boleslav,0,0,
2026-02-22,CZE1,Teplice,Olomouc,1,3,
2026-02-22,CZE1,Plzen,Sparta,0,0,
2026-02-14,CZE1,Dukla,Zlin,0,0,
2026-02-14,CZE1,Karvina,Slavia,1,3,
2026-02-14,CZE1,Slovacko,Bohemians,1,2,
2026-02-14,CZE1,Olomouc,Plzen,1,2,
2026-02-15,CZE1,Pardubice,Jablonec,0,2,
2026-02-15,CZE1,Ml.Boleslav,Teplice,0,0,
2026-02-15,CZE1,Liberec,Ostrava,1,0,
2026-02-15,CZE1,Sparta,Hradec,2,0,
2026-02-07,CZE1,Ostrava,Olomouc,2,0,
2026-02-07,CZE1,Jablonec,Slovacko,0,0,
2026-02-07,CZE1,Teplice,Karvina,2,0,
2026-02-07,CZE1,Slavia,Ml.Boleslav,4,0,
2026-02-08,CZE1,Hradec,Dukla,3,0,
2026-02-08,CZE1,Bohemians,Pardubice,1,2,
2026-02-08,CZE1,Zlin,Sparta,0,3,
2026-02-08,CZE1,Plzen,Liberec,3,1,
2026-03-01,CZE1,Karvina,Slovacko,0,2,
2026-03-01,CZE1,Zlin,Plzen,3,0,
2026-03-01,CZE1,Olomouc,Bohemians,1,0,
2026-03-07,CZE1,Bohemians,Liberec,0,0,
2026-03-07,CZE1,Slovacko,Ml.Boleslav,2,2,
2026-03-07,CZE1,Teplice,Dukla,0,0,
2026-03-07,CZE1,Jablonec,Olomouc,1,2,
2026-03-08,CZE1,Ostrava,Zlin,6,2,
2026-03-08,CZE1,Hradec,Plzen,0,3,
2026-03-08,CZE1,Karvina,Pardubice,1,2,
2026-03-08,CZE1,Slavia,Sparta,3,1,
2026-03-14,CZE1,Dukla,Jablonec,2,0,
2026-03-14,CZE1,Hradec,Ostrava,1,0,
2026-03-14,CZE1,Ml.Boleslav,Pardubice,2,0,
2026-03-14,CZE1,Zlin,Slavia,1,3,
2026-03-15,CZE1,Liberec,Teplice,1,1,h2h
2026-03-15,CZE1,Olomouc,Karvina,2,2,
