date,comp,home,away,hg,ag
2025-10-25,RPL,cska,krylja,1,0
2025-10-25,RPL,rostov,dinamo-mkh,1,1
2025-10-25,RPL,spartak,orenburg,1,0
2025-10-26,RPL,akron,lokomotiv,1,1
2025-10-26,RPL,krasnodar,rubin,1,0
2025-10-26,RPL,pari-nn,baltika,0,0
2025-10-26,RPL,zenit,dinamo-msk,2,1
2025-10-27,RPL,akhmat,sochi,2,4
2025-10-31,RPL,cska,pari-nn,2,0
2025-11-01,RPL,dinamo-mkh,krylja,2,0
2025-11-01,RPL,rostov,akron,0,1
2025-11-01,RPL,rubin,dinamo-msk,0,0
2025-11-01,RPL,zenit,lokomotiv,2,0
2025-11-02,RPL,baltika,akhmat,2,0
2025-11-02,RPL,krasnodar,spartak,2,1
2025-11-02,RPL,orenburg,sochi,3,1
2025-11-05,CUP,dinamo-mkh,cska,1,0
2025-11-05,CUP,orenburg,krasnodar,1,3
2025-11-05,CUP,zenit,dinamo-msk,1,3
2025-11-06,CUP,spartak,lokomotiv,3,1
2025-11-08,RPL,dinamo-mkh,cska,0,1
2025-11-08,RPL,dinamo-msk,akron,1,2
2025-11-08,RPL,pari-nn,rubin,0,0
2025-11-08,RPL,sochi,rostov,0,1
2025-11-09,RPL,akhmat,spartak,1,2
2025-11-09,RPL,baltika,krasnodar,1,1
2025-11-09,RPL,krylja,zenit,1,1
2025-11-09,RPL,lokomotiv,orenburg,1,0
2025-11-21,RPL,akron,sochi,3,2
2025-11-22,RPL,orenburg,baltika,0,0
2025-11-22,RPL,rubin,akhmat,1,0
2025-11-22,RPL,spartak,cska,1,0
2025-11-23,RPL,dinamo-msk,dinamo-mkh,3,0
2025-11-23,RPL,krylja,rostov,2,0
2025-11-23,RPL,lokomotiv,krasnodar,1,1
2025-11-23,RPL,pari-nn,zenit,0,2
2025-11-25,CUP,arsenal-tula,rubin,0,0
2025-11-25,CUP,torpedo,baltika,0,2
2025-11-26,CUP,cska,dinamo-mkh,2,1
2025-11-26,CUP,krasnodar,orenburg,4,0
2025-11-26,CUP,lokomotiv,spartak,2,3
2025-11-26,CUP,neftekhimik,rostov,1,3
2025-11-27,CUP,dinamo-msk,zenit,0,1
2025-11-27,CUP,kamaz,krylja,1,1
2025-11-29,RPL,akron,pari-nn,1,2
2025-11-29,RPL,baltika,spartak,1,0
2025-11-29,RPL,cska,orenburg,2,0
2025-11-30,RPL,akhmat,dinamo-msk,2,1
2025-11-30,RPL,krasnodar,krylja,5,0
