date,fixture,hPct,dPct,aPct,leader,leaderShare,actual,h2hH,h2hD,h2hA,comH,comD,comA,thirdH,thirdD,thirdA,paths,effective
2024-11-23,FC Orenburg v Zenit St Petersbur,28.7,2.5,68.9,A,68.9,A,0,0,100,14,0,86,45,5,50,35,14
2024-11-23,Spartak Moscow v Lokomotiv Moscow,22.1,18.9,59.0,A,59.0,H,0,0,100,43,36,21,5,5,90,35,14
2024-11-24,Fakel Voronezh v Dynamo Moscow,14.8,0.0,85.2,A,85.2,D,0,0,100,21,0,79,10,0,90,35,14
2024-11-24,Krylya Sovetov Sam v Akhmat Grozny,21.3,17.2,61.5,A,61.5,H,0,100,0,36,21,43,10,5,85,35,14
2024-11-24,Pari Nizhny Novgor v Dynamo Makhachkala,10.7,29.5,59.8,A,59.8,D,100,0,0,7,43,50,5,20,75,35,14
2024-11-26,CSKA Moscow v Rubin Kazan,42.6,17.2,40.2,H,42.6,H,0,100,0,50,21,29,40,0,60,35,14
2024-11-27,Akhmat Grozny v Zenit St Petersbur,25.4,9.0,65.6,A,65.6,A,0,0,100,7,14,79,45,0,55,35,15
2024-11-27,FC Rostov v Spartak Moscow,48.4,9.8,41.8,H,48.4,H,0,0,100,14,21,64,85,0,15,35,14
2024-11-30,Akron Tolyatti v FC Orenburg,38.5,11.5,50.0,A,50.0,H,0,100,0,57,14,29,25,0,75,35,14
2024-11-30,CSKA Moscow v Rubin Kazan,45.3,16.4,38.3,H,45.3,D,50,50,0,50,21,29,40,0,60,36,15
2024-11-30,FC Rostov v Pari Nizhny Novgor,78.7,4.9,16.4,H,78.7,H,0,100,0,64,0,36,100,0,0,35,14
2024-12-01,Dynamo Makhachkala v Fakel Voronezh,41.0,26.2,32.8,H,41.0,D,0,100,0,36,36,29,50,10,40,35,14
2024-12-01,FC Krasnodar v Spartak Moscow,45.1,6.6,48.4,A,48.4,A,100,0,0,29,14,57,55,0,45,35,14
2024-12-01,Lokomotiv Moscow v FC Khimki,63.4,12.7,23.9,H,63.4,A,67,0,33,71,14,14,55,10,35,37,16
2024-12-01,Zenit St Petersbur v Krylya Sovetov Sam,90.2,6.6,3.3,H,90.2,A,100,0,0,79,14,7,100,0,0,35,14
2024-12-02,Akhmat Grozny v Dynamo Moscow,34.4,11.5,54.1,A,54.1,D,0,0,100,21,14,64,50,5,45,35,14
2024-12-07,Dynamo Makhachkala v Rubin Kazan,28.7,15.6,55.7,A,55.7,A,0,0,100,36,29,36,25,5,70,35,14
2024-12-07,FC Rostov v Krylya Sovetov Sam,72.1,14.8,13.1,H,72.1,H,100,0,0,50,21,29,90,10,0,35,13
2024-12-07,Spartak Moscow v Pari Nizhny Novgor,56.6,2.5,41.0,H,56.6,H,100,0,0,86,0,14,30,0,70,35,15
2024-12-07,Zenit St Petersbur v Akron Tolyatti,72.7,7.0,20.3,H,72.7,A,100,0,0,86,0,14,55,5,40,36,15
2024-12-08,Akhmat Grozny v FC Orenburg,41.0,14.8,44.3,A,44.3,H,0,100,0,36,21,43,50,0,50,35,13
2024-12-08,Dynamo Moscow v FC Khimki,77.0,2.5,20.5,H,77.0,H,100,0,0,93,0,7,60,5,35,35,14
2024-12-08,Fakel Voronezh v CSKA Moscow,22.1,13.9,63.9,A,63.9,A,0,100,0,0,14,86,50,0,50,35,14
2024-12-08,FC Krasnodar v Lokomotiv Moscow,42.6,8.2,49.2,A,49.2,D,100,0,0,50,7,43,30,10,60,35,15
2025-02-28,Dynamo Makhachkala v Lokomotiv Moscow,32.0,8.2,59.8,A,59.8,D,0,0,100,21,7,71,45,10,45,35,14
2025-03-01,Akhmat Grozny v Rubin Kazan,62.3,2.5,35.2,H,62.3,H,0,0,100,50,0,50,80,5,15,35,14
2025-03-01,FC Krasnodar v Krylya Sovetov Sam,54.9,2.5,42.6,H,54.9,D,100,0,0,71,0,29,35,5,60,35,15
2025-03-01,Pari Nizhny Novgor v Akron Tolyatti,18.9,11.5,69.7,A,69.7,H,0,100,0,43,7,50,5,0,95,35,14
2025-03-01,Zenit St Petersbur v CSKA Moscow,54.9,13.9,31.1,H,54.9,D,100,0,0,50,14,36,60,10,30,35,14
2025-03-02,FC Khimki v Fakel Voronezh,53.3,11.5,35.2,H,53.3,H,0,100,0,36,14,50,75,0,25,35,14
2025-03-02,FC Rostov v Dynamo Moscow,42.6,13.9,43.4,A,43.4,D,0,100,0,29,14,57,60,5,35,35,14
2025-03-02,Spartak Moscow v FC Orenburg,48.4,0.0,51.6,A,51.6,H,0,0,100,100,0,0,5,0,95,35,14
2025-03-07,Lokomotiv Moscow v Akhmat Grozny,62.3,3.3,34.4,H,62.3,D,100,0,0,71,7,21,50,0,50,35,14
