date,fixture,hPct,dPct,aPct,leader,leaderShare,actual,h2hH,h2hD,h2hA,comH,comD,comA,thirdH,thirdD,thirdA,paths,effective
2024-11-10,Akhmat Grozny v Zenit St Petersbur,29.2,8.3,62.5,A,62.5,A,0,0,0,7,14,79,60,0,40,34,14
2024-11-10,Krylya Sovetov Sam v CSKA Moscow,10.4,4.2,85.4,A,85.4,A,0,0,0,14,7,79,5,0,95,34,13
2024-11-10,Rubin Kazan v FC Krasnodar,54.2,6.3,39.6,H,54.2,D,0,0,0,29,7,64,90,5,5,34,13
2024-11-10,Spartak Moscow v Akron Tolyatti,35.4,12.5,52.1,A,52.1,H,0,0,0,57,21,21,5,0,95,34,13
2024-11-22,Rubin Kazan v Akron Tolyatti,57.7,9.6,32.7,H,57.7,H,100,0,0,57,7,36,50,15,35,37,16
2024-11-23,CSKA Moscow v FC Rostov,40.5,23.0,36.5,H,40.5,A,0,100,0,64,21,14,10,20,70,35,13
2024-11-23,FC Khimki v FC Krasnodar,30.4,12.2,57.4,A,57.4,D,0,0,100,14,14,71,55,10,35,35,14
2024-11-23,FC Orenburg v Zenit St Petersbur,26.4,2.0,71.6,A,71.6,A,0,0,100,14,0,86,45,5,50,35,15
2024-11-23,Spartak Moscow v Lokomotiv Moscow,26.4,22.3,51.4,A,51.4,H,0,0,100,43,36,21,5,5,90,35,15
2024-11-24,Fakel Voronezh v Dynamo Moscow,16.2,0.0,83.8,A,83.8,D,0,0,100,21,0,79,10,0,90,35,14
2024-11-24,Krylya Sovetov Sam v Akhmat Grozny,24.3,16.9,58.8,A,58.8,H,0,100,0,36,21,43,10,5,85,35,14
2024-11-24,Pari Nizhny Novgor v Dynamo Makhachkala,8.8,32.4,58.8,A,58.8,D,100,0,0,7,43,50,5,20,75,35,14
2024-11-26,CSKA Moscow v Rubin Kazan,44.6,16.9,38.5,H,44.6,H,0,100,0,50,21,29,40,0,60,35,14
2024-11-27,Akhmat Grozny v Zenit St Petersbur,22.3,10.1,67.6,A,67.6,A,0,0,100,7,14,79,45,0,55,35,15
2024-11-27,FC Rostov v Spartak Moscow,42.6,12.2,45.3,A,45.3,H,0,0,100,14,21,64,85,0,15,35,14
2024-11-30,Akron Tolyatti v FC Orenburg,42.6,10.8,46.6,A,46.6,H,0,100,0,57,14,29,25,0,75,35,14
2024-11-30,CSKA Moscow v Rubin Kazan,46.1,16.4,37.5,H,46.1,D,50,50,0,50,21,29,40,0,60,36,15
2024-11-30,FC Rostov v Pari Nizhny Novgor,77.0,2.7,20.3,H,77.0,H,0,100,0,64,0,36,100,0,0,35,14
2024-12-01,Dynamo Makhachkala v Fakel Voronezh,40.5,27.0,32.4,H,40.5,D,0,100,0,36,36,29,50,10,40,35,14
2024-12-01,FC Krasnodar v Spartak Moscow,41.2,8.1,50.7,A,50.7,A,100,0,0,29,14,57,55,0,45,35,14
2024-12-01,Lokomotiv Moscow v FC Khimki,64.7,13.5,21.8,H,64.7,A,67,0,33,71,14,14,55,10,35,37,17
2024-12-01,Zenit St Petersbur v Krylya Sovetov Sam,87.8,8.1,4.1,H,87.8,A,100,0,0,79,14,7,100,0,0,35,14
2024-12-02,Akhmat Grozny v Dynamo Moscow,32.4,12.2,55.4,A,55.4,D,0,0,100,21,14,64,50,5,45,35,14
2024-12-07,Dynamo Makhachkala v Rubin Kazan,30.4,18.2,51.4,A,51.4,A,0,0,100,36,29,36,25,5,70,35,14
2024-12-07,FC Rostov v Krylya Sovetov Sam,67.6,16.2,16.2,H,67.6,H,100,0,0,50,21,29,90,10,0,35,13
2024-12-07,Spartak Moscow v Pari Nizhny Novgor,61.5,2.0,36.5,H,61.5,H,100,0,0,86,0,14,30,0,70,35,15
2024-12-07,Zenit St Petersbur v Akron Tolyatti,74.3,5.9,19.7,H,74.3,A,100,0,0,86,0,14,55,5,40,36,15
2024-12-08,Akhmat Grozny v FC Orenburg,40.5,14.9,44.6,A,44.6,H,0,100,0,36,21,43,50,0,50,35,15
2024-12-08,Dynamo Moscow v FC Khimki,79.7,2.0,18.2,H,79.7,H,100,0,0,93,0,7,60,5,35,35,14
2024-12-08,Fakel Voronezh v CSKA Moscow,18.2,12.8,68.9,A,68.9,A,0,100,0,0,14,86,50,0,50,35,15
2024-12-08,FC Krasnodar v Lokomotiv Moscow,43.2,8.1,48.6,A,48.6,D,100,0,0,50,7,43,30,10,60,35,15
2025-02-28,Dynamo Makhachkala v Lokomotiv Moscow,30.4,8.1,61.5,A,61.5,D,0,0,100,21,7,71,45,10,45,35,14
2025-03-01,Akhmat Grozny v Rubin Kazan,60.8,2.0,37.2,H,60.8,H,0,0,100,50,0,50,80,5,15,35,14
2025-03-01,FC Krasnodar v Krylya Sovetov Sam,57.4,2.0,40.5,H,57.4,D,100,0,0,71,0,29,35,5,60,35,15
2025-03-01,Pari Nizhny Novgor v Akron Tolyatti,22.3,10.8,66.9,A,66.9,H,0,100,0,43,7,50,5,0,95,35,14
2025-03-01,Zenit St Petersbur v CSKA Moscow,53.4,14.2,32.4,H,53.4,D,100,0,0,50,14,36,60,10,30,35,14
2025-03-02,FC Khimki v Fakel Voronezh,50.7,10.8,38.5,H,50.7,H,0,100,0,36,14,50,75,0,25,35,14
2025-03-02,FC Rostov v Dynamo Moscow,40.5,12.8,46.6,A,46.6,D,0,100,0,29,14,57,60,5,35,35,14
2025-03-02,Spartak Moscow v FC Orenburg,58.8,0.0,41.2,H,58.8,H,0,0,100,100,0,0,5,0,95,35,14
2025-03-07,Lokomotiv Moscow v Akhmat Grozny,63.5,4.1,32.4,H,63.5,D,100,0,0,71,7,21,50,0,50,35,14
2025-03-07,Pari Nizhny Novgor v FC Krasnodar,12.2,11.5,76.3,A,76.3,A,33,0,67,7,14,79,20,5,75,37,16
2025-03-08,CSKA Moscow v FC Khimki,59.5,20.3,20.3,H,59.5,H,100,0,0,64,29,7,50,5,45,35,14
2025-03-08,Dynamo Moscow v Dynamo Makhachkala,48.7,21.7,29.6,H,48.7,H,100,0,0,50,29,21,40,15,45,36,15
2025-03-08,Fakel Voronezh v Zenit St Petersbur,9.6,7.7,82.7,A,82.7,A,0,0,100,7,14,79,15,0,85,37,17
2025-03-08,FC Orenburg v FC Rostov,23.1,9.6,67.3,A,67.3,A,0,0,100,29,7,64,20,10,70,37,17
2025-03-09,Krylya Sovetov Sam v Akron Tolyatti,44.6,10.1,45.3,A,45.3,A,0,0,100,57,7,36,30,5,65,35,14
2025-03-09,Rubin Kazan v Spartak Moscow,34.5,10.1,55.4,A,55.4,H,0,0,100,21,7,71,55,15,30,35,14
2025-03-11,Dynamo Makhachkala v Lokomotiv Moscow,25.7,14.5,59.9,A,59.9,A,0,50,50,14,14,71,45,10,45,36,15
2025-03-11,FC Krasnodar v Akhmat Grozny,56.4,6.4,37.2,H,56.4,A,33,33,33,93,7,0,10,0,90,37,17
2025-03-12,Akron Tolyatti v Spartak Moscow,28.4,16.2,55.4,A,55.4,A,0,0,100,21,14,64,40,20,40,35,14
2025-03-12,CSKA Moscow v Dynamo Moscow,35.1,0.0,64.9,A,64.9,H,100,0,0,43,0,57,20,0,80,35,14
2025-03-12,Lokomotiv Moscow v Akhmat Grozny,57.9,10.5,31.6,H,57.9,H,50,50,0,71,7,21,50,0,50,36,15
2025-03-12,FC Rostov v Zenit St Petersbur,30.4,16.2,53.4,A,53.4,A,0,0,100,29,14,57,45,5,50,35,14
2025-03-15,Dynamo Makhachkala v Krylya Sovetov Sam,54.6,19.7,25.7,H,54.6,H,100,0,0,57,21,21,55,10,35,36,15
2025-03-15,FC Khimki v Akhmat Grozny,34.5,8.8,56.8,A,56.8,D,0,100,0,50,0,50,15,5,80,35,14
2025-03-15,Lokomotiv Moscow v Dynamo Moscow,34.5,12.2,53.4,A,53.4,H,0,0,100,43,14,43,25,10,65,35,13
2025-03-15,FC Orenburg v Fakel Voronezh,60.8,2.0,37.2,H,60.8,H,0,0,100,50,0,50,80,5,15,35,15
2025-03-16,Akron Tolyatti v CSKA Moscow,24.3,8.1,67.6,A,67.6,A,0,0,100,29,7,64,20,10,70,35,15
2025-03-16,FC Rostov v FC Krasnodar,54.7,16.2,29.1,H,54.7,A,0,0,100,29,21,50,95,0,5,35,14
2025-03-16,Rubin Kazan v Pari Nizhny Novgor,83.8,8.1,8.1,H,83.8,H,100,0,0,71,14,14,100,0,0,35,14
2025-03-16,Spartak Moscow v Zenit St Petersbur,32.4,8.8,58.8,A,58.8,H,0,100,0,50,0,50,10,5,85,35,14
