date,fixture,K,zoneBase,zoneDrop2,sideBase,shareBase,shareDrop2,actual,resBase,resDrop2
2026-04-05,Pari Nizhny Novgor v FC Rostov,2,win,win,TB,70.8,70.8,A,W,W
2026-04-05,Spartak Moscow v Lokomotiv Moscow,2,windraw,windraw,TB,58.4,61.0,H,L,L
2026-04-06,PFC Sochi v Rubin Kazan,2,strong,strong,TB,86.9,86.9,A,W,W
2026-04-07,Krylya Sovetov Sam v CSKA Moscow,2,lean,lean,TB,52.1,52.1,A,W,W
2026-04-08,Dynamo Moscow v FC Krasnodar,2,windraw,lean,TB,58.8,54.1,D,D,D
2026-04-11,Hearts v Motherwell,2,windraw,NC,TB,100.0,,H,L,NC
2026-04-11,Baltika Kaliningra v Pari Nizhny Novgor,2,win,win,TA,84.4,84.4,D,D,D
2026-04-11,Krylya Sovetov Sam v Akhmat Grozny,2,toss,toss,TB,43.0,45.1,D,D,D
2026-04-11,Rubin Kazan v FC Orenburg,2,lean,lean,TA,52.7,50.7,D,D,D
2026-04-12,CSKA Moscow v PFC Sochi,2,strong,strong,TA,91.8,91.8,A,L,L
2026-04-12,Lokomotiv Moscow v Dynamo Makhachkala,2,windraw,windraw,TA,64.2,62.2,D,D,D
2026-04-12,FC Rostov v Spartak Moscow,2,toss,toss,TA,45.9,49.4,D,D,D
2026-04-12,Zenit St Petersbur v FC Krasnodar,2,lean,windraw,TA,52.1,56.3,D,D,D
2026-04-13,Akron Tolyatti v Dynamo Moscow,2,win,win,TB,82.4,82.4,A,W,W
2026-04-17,FC Rostov v PFC Sochi,2,strong,strong,TA,93.4,93.4,A,L,L
2026-04-18,Krylya Sovetov Sam v CSKA Moscow,2,lean,lean,TB,54.1,52.1,D,D,D
2026-04-18,FC Orenburg v Lokomotiv Moscow,2,strong,strong,TB,87.0,89.6,A,W,W
2026-04-18,Pari Nizhny Novgor v Dynamo Moscow,2,win,win,TB,81.7,81.7,D,D,D
2026-04-18,Rubin Kazan v Akron Tolyatti,2,windraw,windraw,TA,61.0,61.0,D,D,D
2026-04-19,Dynamo Makhachkala v Zenit St Petersbur,2,win,win,TB,76.4,76.4,A,W,W
2026-04-19,FC Krasnodar v Baltika Kaliningra,2,lean,windraw,TB,50.0,56.6,D,D,D
2026-04-19,Spartak Moscow v Akhmat Grozny,2,windraw,windraw,TA,57.7,57.7,H,W,W
2026-04-21,CSKA Moscow v FC Rostov,2,lean,lean,TB,52.1,52.1,D,D,D
2026-04-21,PFC Sochi v Krylya Sovetov Sam,2,win,win,TB,74.6,81.1,H,L,L
2026-04-22,Dynamo Moscow v Rubin Kazan,2,windraw,windraw,TA,58.5,58.5,A,L,L
2026-04-22,Lokomotiv Moscow v Zenit St Petersbur,2,toss,toss,TB,38.0,38.0,D,D,D
2026-04-22,FC Orenburg v Pari Nizhny Novgor,2,lean,lean,TA,50.0,50.0,H,W,W
2026-04-23,Akhmat Grozny v Baltika Kaliningra,2,windraw,windraw,TB,64.8,64.8,D,D,D
2026-04-23,Akron Tolyatti v Dynamo Makhachkala,2,win,windraw,TB,65.5,62.7,D,D,D
2026-04-23,Spartak Moscow v FC Krasnodar,2,lean,lean,TB,52.1,52.1,A,W,W
2026-04-25,Krylya Sovetov Sam v Lokomotiv Moscow,2,win,win,TB,73.2,73.2,H,L,L
2026-04-25,FC Rostov v FC Orenburg,2,win,win,TA,79.2,81.2,A,L,L
2026-04-25,Rubin Kazan v CSKA Moscow,2,toss,toss,TB,47.3,42.6,D,D,D
2026-04-26,Hibernian v Hearts,2,windraw,NC,TB,100.0,,A,W,NC
2026-04-26,Dynamo Moscow v PFC Sochi,2,strong,strong,TA,87.3,87.3,H,W,W
2026-04-26,FC Krasnodar v Dynamo Makhachkala,2,windraw,windraw,TA,56.3,56.3,H,W,W
2026-04-26,Pari Nizhny Novgor v Spartak Moscow,2,strong,strong,TB,90.9,88.3,A,W,W
2026-04-26,Zenit St Petersbur v Akhmat Grozny,2,win,win,TA,73.8,73.8,H,W,W
2026-04-27,Baltika Kaliningra v Akron Tolyatti,2,win,win,TA,75.4,75.4,A,L,L
2026-05-01,Krylya Sovetov Sam v Spartak Moscow,2,win,win,TB,70.1,67.5,H,L,L
2026-05-01,Lokomotiv Moscow v Dynamo Moscow,2,windraw,windraw,TA,62.0,62.0,D,D,D
2026-05-02,Prishtina v Malisheva,2,windraw,NC,TB,100.0,,A,W,NC
2026-05-02,Baltika Kaliningra v Rubin Kazan,2,windraw,windraw,TA,64.8,64.8,A,L,L
2026-05-02,CSKA Moscow v Zenit St Petersbur,2,windraw,windraw,TB,60.1,61.5,A,W,W
2026-05-02,Dynamo Makhachkala v FC Rostov,2,toss,toss,TA,37.7,37.7,A,L,L
2026-05-03,Hibernian v Celtic,2,windraw,NC,TA,75.0,,A,L,NC
2026-05-03,Akhmat Grozny v Pari Nizhny Novgor,2,win,win,TA,74.0,74.0,H,W,W
2026-05-03,Akron Tolyatti v FC Krasnodar,2,strong,strong,TB,95.1,95.1,A,W,W
2026-05-03,PFC Sochi v FC Orenburg,2,windraw,win,TB,64.8,68.0,H,L,L
2026-05-06,Spartak Moscow v CSKA Moscow,2,toss,toss,TA,43.2,45.9,H,W,W
2026-05-10,Akhmat Grozny v Dynamo Makhachkala,2,toss,toss,TB,42.3,42.3,D,D,D
2026-05-10,Lokomotiv Moscow v Baltika Kaliningra,2,lean,lean,TA,50.7,53.7,H,W,W
2026-05-10,FC Orenburg v Krylya Sovetov Sam,2,lean,lean,TB,52.7,50.0,H,L,L
2026-05-10,Zenit St Petersbur v PFC Sochi,2,strong,strong,TA,94.3,94.3,H,W,W
2026-05-11,Akron Tolyatti v FC Rostov,2,win,win,TB,65.5,65.5,A,W,W
2026-05-11,Baltika Kaliningra v Dynamo Moscow,2,toss,lean,TA,42.6,50.8,A,L,L
2026-05-11,CSKA Moscow v Lokomotiv Moscow,2,windraw,windraw,TB,60.1,57.4,H,L,L
2026-05-11,Dynamo Makhachkala v Spartak Moscow,2,toss,toss,TB,49.4,49.4,D,D,D
2026-05-11,Dynamo Moscow v FC Krasnodar,2,lean,lean,TB,54.5,54.5,H,L,L
2026-05-11,FC Krasnodar v FC Orenburg,2,win,win,TA,74.7,74.7,H,W,W
2026-05-11,Krylya Sovetov Sam v Akron Tolyatti,2,toss,toss,TA,45.8,48.6,H,W,W
2026-05-11,Pari Nizhny Novgor v CSKA Moscow,2,strong,strong,TB,85.8,85.8,A,W,W
2026-05-11,FC Rostov v Zenit St Petersbur,2,win,win,TB,71.4,68.8,A,W,W
2026-05-11,Rubin Kazan v Pari Nizhny Novgor,2,win,win,TA,77.5,75.4,D,D,D
2026-05-11,PFC Sochi v Akhmat Grozny,2,win,win,TB,79.5,82.8,D,D,D
2026-05-11,Spartak Moscow v Rubin Kazan,2,lean,lean,TA,50.0,52.7,H,W,W
2026-05-13,Rangers v Hibernian,2,lean,NC,TA,50.0,,A,L,NC
2026-05-13,Motherwell v Celtic,2,toss,NC,TB,42.9,,A,W,NC
