Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
Russia,Premier League,2024/2025,03/05/2025,17:30,Krasnodar,Rubin Kazan,2,1,H,1.39,5.05,8.19,1.42,5.05,8.45,1.39,4.82,7.92
Russia,Premier League,2024/2025,04/05/2025,12:00,Fakel Voronezh,Spartak Moscow,0,0,D,5.86,3.99,1.63,6.74,3.99,1.63,6.13,3.93,1.58
Russia,Premier League,2024/2025,04/05/2025,14:30,Akhmat Grozny,CSKA Moscow,1,1,D,2.48,3.32,3.04,2.48,3.36,3.16,2.41,3.3,3.02
Russia,Premier League,2024/2025,04/05/2025,17:30,Khimki,FK Rostov,1,1,D,2.51,3.67,2.76,2.52,3.77,2.76,2.47,3.67,2.68
Russia,Premier League,2024/2025,04/05/2025,17:30,Zenit,Pari NN,2,1,H,1.17,7.81,17.74,1.18,7.87,17.74,1.16,7.6,16.64
Russia,Premier League,2024/2025,05/05/2025,16:30,Krylya Sovetov,Dynamo Moscow,1,3,A,2.53,3.72,2.71,2.58,3.72,2.71,2.51,3.65,2.64
Russia,Premier League,2024/2025,10/05/2025,12:30,Orenburg,Khimki,1,1,D,2.12,4.08,3.15,2.14,4.08,3.78,2.03,3.94,3.34
Russia,Premier League,2024/2025,10/05/2025,15:00,Dynamo Makhachkala,Zenit,0,1,A,7.79,4.24,1.48,7.79,4.49,1.5,7.42,4.19,1.48
Russia,Premier League,2024/2025,10/05/2025,17:30,CSKA Moscow,Krasnodar,1,0,H,2.93,3.45,2.49,2.93,3.45,2.65,2.73,3.34,2.6
Russia,Premier League,2024/2025,11/05/2025,12:00,Akron Togliatti,Akhmat Grozny,3,2,H,3.43,3.4,2.23,3.43,3.42,2.28,3.27,3.36,2.24
Russia,Premier League,2024/2025,11/05/2025,14:30,Fakel Voronezh,Lokomotiv Moscow,0,1,A,2.71,3.37,2.72,2.78,3.38,2.72,2.71,3.31,2.64
Russia,Premier League,2024/2025,11/05/2025,17:30,Dynamo Moscow,Spartak Moscow,2,0,H,2.74,3.69,2.52,2.89,3.69,2.52,2.72,3.61,2.44
Russia,Premier League,2024/2025,11/05/2025,17:30,Rubin Kazan,FK Rostov,1,0,H,2.4,3.3,3.18,2.4,3.33,3.23,2.37,3.27,3.09
Russia,Premier League,2024/2025,12/05/2025,17:00,Pari NN,Krylya Sovetov,5,2,H,3.44,3.21,2.32,3.44,3.21,2.49,3.2,3.15,2.39
Russia,Premier League,2024/2025,17/05/2025,12:00,Orenburg,Krasnodar,1,2,A,4.82,4.45,1.65,5.84,4.45,1.65,5.06,4.29,1.6
Russia,Premier League,2024/2025,17/05/2025,14:30,Khimki,Rubin Kazan,3,2,H,2.2,3.55,3.35,2.31,3.55,3.35,2.24,3.44,3.15
Russia,Premier League,2024/2025,17/05/2025,17:00,Pari NN,Fakel Voronezh,1,1,D,2.02,3.32,4.19,2.03,3.36,4.19,1.99,3.26,4.06
Russia,Premier League,2024/2025,18/05/2025,11:30,Krylya Sovetov,Spartak Moscow,0,2,A,2.8,3.86,2.4,2.86,3.86,2.46,2.72,3.63,2.43
Russia,Premier League,2024/2025,18/05/2025,12:00,Akhmat Grozny,Dynamo Makhachkala,1,1,D,2.07,3.58,3.66,2.22,3.58,3.66,2.12,3.45,3.42
Russia,Premier League,2024/2025,18/05/2025,14:30,Dynamo Moscow,Akron Togliatti,2,1,H,1.39,5.72,7.02,1.41,5.73,7.02,1.38,5.54,6.66
Russia,Premier League,2024/2025,18/05/2025,17:00,FK Rostov,Zenit,0,1,A,9.56,5.2,1.35,9.87,5.43,1.35,9.21,5.15,1.33
Russia,Premier League,2024/2025,19/05/2025,18:30,Lokomotiv Moscow,CSKA Moscow,2,2,D,3.12,3.38,2.4,3.13,3.43,2.47,2.99,3.35,2.37
Russia,Premier League,2024/2025,24/05/2025,14:30,Akron Togliatti,Lokomotiv Moscow,1,4,A,2.45,4.04,2.6,2.61,4.04,2.6,2.51,3.91,2.48
Russia,Premier League,2024/2025,24/05/2025,14:30,CSKA Moscow,Pari NN,2,0,H,1.39,4.97,8.03,1.43,4.97,8.03,1.4,4.72,7.61
Russia,Premier League,2024/2025,24/05/2025,14:30,Dynamo Makhachkala,FK Rostov,1,1,D,2.39,3.37,3.1,2.39,3.48,3.12,2.32,3.37,3.04
Russia,Premier League,2024/2025,24/05/2025,14:30,Fakel Voronezh,Krylya Sovetov,1,1,D,2.54,3.31,2.92,2.66,3.31,2.92,2.56,3.21,2.82
Russia,Premier League,2024/2025,24/05/2025,14:30,Krasnodar,Dynamo Moscow,3,0,H,1.62,4.88,4.51,1.65,4.88,4.68,1.62,4.6,4.52
Russia,Premier League,2024/2025,24/05/2025,14:30,Rubin Kazan,Orenburg,4,2,H,1.78,4.26,4.05,1.8,4.33,4.13,1.76,4.23,3.95
Russia,Premier League,2024/2025,24/05/2025,14:30,Spartak Moscow,Khimki,5,0,H,1.45,5.25,6.14,1.45,5.44,6.86,1.41,5.11,6.46
Russia,Premier League,2024/2025,24/05/2025,14:30,Zenit,Akhmat Grozny,3,0,H,1.21,7.14,12.46,1.22,7.74,17.1,1.19,7.01,13.45
